eod,pnl
2023-02-14,-20.0
2023-02-15,-730.0
2023-02-16,-150.0
2023-02-17,-240.0
2023-02-21,-110.0
2023-02-28,-70.0
2023-03-01,-520.0
2023-03-07,850.0
2023-03-08,-270.0
2023-03-10,-250.0
2023-03-13,-510.0
2023-03-15,-370.0
2023-03-17,1220.0
2023-03-30,-150.0
2023-03-31,-160.0
2023-04-03,980.0
2023-04-11,680.0
2023-04-13,-120.0
2023-04-17,-40.0
2023-04-18,-460.0
2023-04-19,-120.0
2023-04-21,-60.0
2023-04-25,550.0
2023-04-27,-40.0
2023-06-09,-380.0
2023-06-13,-90.0
2023-07-03,-460.0
2023-07-07,890.0
2023-07-13,-430.0
2023-07-18,1400.0
2023-07-19,-260.0
2023-07-25,-370.0
2023-07-26,-820.0
2023-08-29,2310.0
2023-08-30,-510.0
2023-09-05,-100.0
2023-09-06,-30.0
2023-09-08,-20.0
2023-10-16,1750.0
2023-10-17,-440.0
2023-10-20,-590.0
